fy,month,IWV,VBTIX,acwi_exUS
2004,3,0.382911846506952,0.0557708074471883,0.557075331090576
2005,3,0.0694485819309432,0.0116122832102588,0.131437885616768
2006,3,0.142120010694188,0.0227564912093194,0.246686068434741
2007,3,0.10959089695466,0.067282325858657,0.171756850032185
2008,3,-0.0624544094577193,0.0786891460349615,-0.00208488458674605
2009,3,-0.384434153286385,0.0330216379539545,-0.480485499676665
2010,3,0.527014892205197,0.075503923511562,0.566600917928979
2011,3,0.172597079812292,0.0477723861641697,0.103276437439644
2012,3,0.070167690789031,0.0772673275829481,-0.0987572248998209
2013,3,0.145112960564053,0.0385541181699305,0.0520479459071817
2014,3,0.222730435529098,-0.00204340826889882,0.093851031839393
2015,3,0.121537311067571,0.0565832447089316,-0.0349440923011182
2016,3,-0.00408115312493451,0.018414146977551,-0.114945370414786
2017,3,0.178769073689178,0.00431635478680015,0.101314955640051
2018,3,0.136440513496214,0.0114228950219553,0.136801220486302
2019,3,0.0851476210487911,0.0446640699715402,-0.0682964028585319
2020,3,-0.0924793742333331,0.0909491862753891,-0.17906606858838
2021,3,0.62207862243431,0.0055666403491601,0.463195245662538
2022,3,0.118474692147883,-0.0405992790554264,-0.0371436052774091
2001,4,,,
2002,4,-0.111805142570348,0.0745584214784922,-0.129259905419581
2003,4,-0.140810990931001,0.0737241701169449,-0.174495390383909
2004,4,0.252989110827423,0.0193735247608891,0.377448608487989
2005,4,0.0680983434441755,0.0527867557124446,0.137769266507269
2006,4,0.181170021834889,0.00705279183622287,0.346345374326491
2007,4,0.141133866794163,0.0749053588845923,0.165306160190853
2008,4,-0.0536443002419982,0.068927368159704,0.0111249357261203
2009,4,-0.34829595792524,0.0408535698426051,-0.44359200534902
2010,4,0.404885766446708,0.0797793121071782,0.368641079598987
2011,4,0.18286218911085,0.0536190183886918,0.166789643559377
2012,4,0.0322190668832827,0.0753879574351706,-0.15476850788716
2013,4,0.168968666653567,0.0362432129267454,0.108064050959886
2014,4,0.206682928643002,-0.00343511775388627,0.0698827993858944
2015,4,0.125048205538036,0.0446155744138741,0.000870862082946955
2016,4,-0.00674669671933326,0.0259833275179766,-0.135662300879968
2017,4,0.188150129152029,0.00814445372257522,0.097117332279113
2018,4,0.128459657598335,-0.00448873283210816,0.129922137359208
2019,4,0.124125438324682,0.053870772607133,-0.0584417719271714
2020,4,-0.0127615394207276,0.1088833433904,-0.138615175110863
2021,4,0.510470134438678,-0.00176157749739792,0.399336014139088
2022,4,-0.0334829012801445,-0.0861671106832631,-0.123932156254979
2000,5,,,
2001,5,-0.104885971690217,0.135307767507071,-0.189849844496878
2002,5,-0.1303104673074,0.0741190664428819,-0.0950685264638954
2003,5,-0.0768384414601,0.0856572511738629,-0.131718366093366
2004,5,0.197666081214223,-0.00310868886232718,0.298676511768434
2005,5,0.0936212316407874,0.0684705538565935,0.140870325081001
2006,5,0.0994528299798942,-0.0044120090809463,0.275496247370175
2007,5,0.22320918957577,0.0675198444094929,0.254926886332619
2008,5,-0.0694032875534885,0.0699154674657601,-0.000217508840180902
2009,5,-0.325230750196944,0.0569981501171344,-0.378081527617201
2010,5,0.227805974947139,0.0800056768857942,0.0788681998540775
2011,5,0.267279676286376,0.0581009731981905,0.266258430297191
2012,5,-0.0191898368914667,0.0716253447060566,-0.228887588250357
2013,5,0.274987278013863,0.0089661976825639,0.222742992139431
2014,5,0.20290038156244,0.0245165698327046,0.116440933762168
2015,5,0.116871691706858,0.0291116720138771,-0.0328287566981506
2016,5,0.000581114826046836,0.0308009161044178,-0.137392704055418
2017,5,0.17489631634073,0.014714170450687,0.152449183605465
2018,5,0.148739135049937,-0.00513229162486051,0.0689966748590429
2019,5,0.0233888067408214,0.0667056736821612,-0.088470771207357
2020,5,0.111059866630369,0.0948132885679309,-0.0573324480810674
2021,5,0.438439964386796,-0.00472536178768235,0.396630283380419
2022,5,-0.0387144415238061,-0.0830937490985931,-0.145646686275173
2000,6,,,
2001,6,-0.128621282117843,0.117296788458591,-0.253102329563376
2002,6,-0.181739452234093,0.0715328530717365,-0.0996748291193841
2003,6,0.0085762549297248,0.0811370965382503,-0.0680662302244081
2004,6,0.208117454213843,0.00377016465858704,0.291604052373112
2005,6,0.0780200540903124,0.0684398879302195,0.137462075876082
2006,6,0.0940720133216868,-0.00887245802167691,0.250753690145257
2007,6,0.199807410457225,0.0623362870033803,0.2673146452552
2008,6,-0.128308498072107,0.0739107403455814,-0.0896628380881809
2009,6,-0.264592045729425,0.0628223140252531,-0.330111246777913
2010,6,0.154428182086768,0.0915573532059895,0.0772112804414966
2011,6,0.321496033586604,0.0372850764319623,0.263465877044557
2012,6,0.037319708355207,0.0761026616557154,-0.171750088350724
2013,6,0.218075989099464,-0.00809084434979401,0.104803140411236
2014,6,0.242753778108864,0.0429208315995575,0.18688917798195
2015,6,0.0709365461701421,0.0176435700396633,-0.0755948772225478
2016,6,0.0208865059886521,0.0614200544297399,-0.126800330516042
2017,6,0.182564408457655,-0.00437362106115202,0.17470508359501
2018,6,0.145943322345667,-0.00502586724796039,0.0458330172560153
2019,6,0.0867491649840415,0.0787042332457133,-0.0152252529194976
2020,6,0.0632981463921423,0.0899031738425955,-0.0705374398041464
2021,6,0.439638979268932,-0.00400503438541888,0.3284
2022,6,-0.140456178620977,-0.103746295790729,-0.214728457557112
2000,7,,,
2001,7,-0.137477030479964,0.132217699309188,-0.239367822840101
2002,7,-0.234168797036092,0.0532290731564395,-0.169175671503551
2003,7,0.1234611436756,0.0399664890575937,0.0598133063796897
2004,7,0.13660720923382,0.0484458420228393,0.22164095371669
2005,7,0.16518939865516,0.0477558651880057,0.2149638933217
2006,7,0.050933457035216,0.0145403078299573,0.218309127160366
2007,7,0.160044745599595,0.0569816074367033,0.251012177150392
2008,7,-0.106047123233526,0.0650260290922509,-0.120150905494969
2009,7,-0.202296405718466,0.0780746227029037,-0.23713741116948
2010,7,0.146363443459588,0.0862376787198258,0.069942407433921
2011,7,0.205618092630979,0.043846322395779,0.14308592148145
2012,7,0.0735616032679567,0.0740329435577252,-0.148516122697904
2013,7,0.268087624069451,-0.0197362954850161,0.137535257490554
2014,7,0.1595337556624,0.0382719881260194,0.125272908739318
2015,7,0.112364775009634,0.0279033253998393,-0.0687286056792826
2016,7,0.0423499936608427,0.0602012069166047,-0.0809625322276416
2017,7,0.159658010659764,-0.00685141766035624,0.160321257828028
2018,7,0.161847535467972,-0.00850362638899071,0.0325294017088054
2019,7,0.0685044095651126,0.0807512619815987,-0.0498653520612791
2020,7,0.107054893827741,0.104264611500311,-0.0177383276611937
2021,7,0.384342414594234,-0.00732742186245838,0.251637335225607
2022,7,-0.0747267797203061,-0.0939994760785722,-0.174516076779785
2000,8,,,
2001,8,-0.246054230199391,0.128899238390863,-0.26788733441094
2002,8,-0.176652228164685,0.0589802311982444,-0.148422134527782
2003,8,0.13563464314937,0.0292390579219524,0.0912578972463942
2004,8,0.116412029540913,0.0623157290344292,0.195565052944911
2005,8,0.153310994512659,0.0417682665126424,0.236115076691146
2006,8,0.0851265557258236,0.0173602703877038,0.221614479872128
2007,8,0.145754209222048,0.0538407804093921,0.198046422980056
2008,8,-0.101413690292396,0.0583183141425823,-0.14810185316705
2009,8,-0.186876125393907,0.0815066231737385,-0.170010634001386
2010,8,0.0548121999843505,0.0912095507990793,0.0035267069931475
2011,8,0.190139436300204,0.0436692306699518,0.0740452412197781
2012,8,0.168223274121982,0.0588742214882969,-0.0492254804506295
2013,8,0.201139583419417,-0.0263334130393262,0.0992529023545554
2014,8,0.245854088575434,0.0567568062018771,0.147484138401119
2015,8,0.00159750112171242,0.0127191300926279,-0.144718619951305
2016,8,0.112352121429636,0.0622369923317321,0.00134463418278141
2017,8,0.158927899519196,0.00333297665626775,0.158941705916511
2018,8,0.200447540366349,-0.0117860541606558,0.00576550370738937
2019,8,0.0111182565284038,0.105075113232288,-0.0597012343628917
2020,8,0.21153598213052,0.0634243117093116,0.0579214787398041
2021,8,0.328856542775543,0.000876078679878045,0.222492714107852
2022,8,-0.133851195483944,-0.117282738883457,-0.216543676284003
2000,9,,,
2001,9,-0.28423805264414,0.130388364675284,-0.307490435698846
2002,9,-0.194859596960687,0.0656582772170202,-0.148405949604687
2003,9,0.262902843242255,0.0411204884180285,0.254894594030474
2004,9,0.142704650824912,0.0360309255664062,0.200625395030105
2005,9,0.147398673807661,0.0286008437396861,0.258954893051092
2006,9,0.0990844239519912,0.0370798730717239,0.162524043646095
2007,9,0.163061828887718,0.0528874651610536,0.276534842776821
2008,9,-0.204466912313663,0.0390280361263426,-0.321632379460896
2009,9,-0.0783845500454999,0.1066605394864,0.0275323221679573
2010,9,0.107995385167013,0.0782882956587894,0.0489808944300243
2011,9,0.00634367581689221,0.0531043179474866,-0.132414682724798
2012,9,0.295524985372604,0.050599392109606,0.110053394926079
2013,9,0.215914675167694,-0.0179925456423868,0.133836809650571
2014,9,0.174401747252993,0.0391597317446244,0.0211968453625866
2015,9,-0.00716067117273322,0.0277395871906405,-0.143057217794301
2016,9,0.148509163553956,0.0533135971687777,0.0630340746526525
2017,9,0.185355841610625,-0.00111900645964635,0.166340547879562
2018,9,0.173452426778828,-0.0118981845828897,-0.00841907044423518
2019,9,0.0279034863891294,0.104495272314961,-0.0401324512457875
2020,9,0.14586179594053,0.0706349197807226,0.00651095531182433
2021,9,0.318015708527348,-0.00902468596606054,0.212628170534269
2022,9,-0.176828622895781,-0.14632950611055,-0.271885693065368
2000,10,,,
2001,10,-0.251174974405467,0.144991749306501,-0.264081011317758
2002,10,-0.147911064441597,0.039790566050103,-0.127598635737857
2003,10,0.234766511263759,0.0374194257554703,0.26820932095192
2004,10,0.0976183896500178,0.0549192805842551,0.166696889166797
2005,10,0.103735444189392,0.0117021674893874,0.172587145735969
2006,10,0.163538168585933,0.0531252735490604,0.255541945097035
2007,10,0.143910382538918,0.0549464974579155,0.294533937639928
2008,10,-0.365237018098908,0.00348184251636874,-0.498967947311882
2009,10,0.105070782398484,0.14020169045139,0.301849939383054
2010,10,0.183074372301924,0.0776967693354198,0.0981944228878886
2011,10,0.0756385281093825,0.0509691384568671,-0.0726472574237214
2012,10,0.145909727986143,0.0500859590214213,0.00804338347042366
2013,10,0.288940723454566,-0.0114933330665892,0.171179116324191
2014,10,0.157207025273878,0.0408826565173033,-0.0247812679288583
